1	40300
4	4900
4	1500
7	900
7	1100
10	1300
10	700
13	1100
10	700
13	900
10	500
10	600
13	800
16	1000
13	800
13	800
16	900
16	1300
13	700
16	900
16	1300
13	1000
13	12600
19	3300
22	2200
13	1100
16	1300
13	5000
16	1100
16	2500
19	1300
16	1200
19	3400
16	1200
19	1300
16	1100
22	1900
19	1500
16	1200
19	1400
19	1600
19	1500
19	1400
19	1300
19	1100
19	1300
13	6300
16	1300
19	1200
13	2000
16	1200
16	1200
16	1200
16	2000
22	2100
19	3100
19	1400
19	1400
19	1400
19	1600
22	1800
19	1800
19	1800
22	1400
19	2700
19	1300
16	1200
22	1900
16	1200
16	1000
25	14300
16	900
16	700
19	600
19	600
16	300
22	400
19	500
19	400
19	300
25	400
19	500
19	400
22	400
25	500
22	400
22	400
19	1100
22	400
19	400
19	500
25	600
19	500
22	500
22	600
19	600
22	500
19	500
19	500
22	1800
19	600
25	600
19	600
19	500
25	600
25	500
25	700
19	500
22	600
22	1600
22	500
22	600
19	500
19	500
25	600
19	500
22	600
25	500
25	500
19	500
25	600
25	500
22	600
19	500
22	500
25	600
22	500
25	1700
25	400
22	500
28	600
22	400
25	600
25	500
22	500
22	400
22	400
19	500
22	400
19	400
22	500
22	500
22	500
28	600
22	500
22	600
31	700
28	500
28	600
28	600
25	500
22	600
22	700
22	500
19	600
28	600
22	1400
22	600
22	400
25	600
22	600
25	500
25	600
25	700
25	600
22	500
22	500
25	600
22	600
28	500
22	500
28	600
22	500
25	500
22	700
22	500
25	600
25	400
22	600
25	500
22	500
25	1000
25	600
25	600
28	500
22	500
22	600
22	600
22	500
22	500
22	500
25	600
22	400
25	600
22	400
25	500
25	500
25	600
25	600
22	600
25	500
28	600
22	500
25	1800
22	400
22	400
31	500
25	600
22	500
31	500
22	1200
22	500
28	600
22	500
31	600
28	600
28	600
25	500
28	600
28	600
22	500
28	500
25	600
19	500
22	500
25	600
31	600
25	1600
28	500
25	500
31	700
31	600
28	600
25	500
28	500
28	600
25	500
22	600
22	500
25	400
28	500
25	500
25	500
31	600
22	500
25	600
25	500
28	600
25	400
25	400
28	500
25	1400
31	400
22	500
28	600
25	1300
31	700
25	800
25	600
25	500
25	500
28	600
25	500
28	500
25	600
25	600
25	500
28	700
22	800
28	600
22	500
25	600
28	600
22	600
28	600
25	500
28	500
28	600
25	500
25	600
22	500
25	700
25	500
28	400
28	1700
28	700
25	400
28	600
25	600
28	600
25	500
25	600
31	800
28	600
22	500
28	600
25	600
25	600
22	500
25	600
25	600
28	500
28	500
25	500
22	400
25	500
28	600
25	700
25	700
31	1800
28	500
25	500
28	500
25	500
31	600
22	500
34	900
25	500
25	600
28	1300
25	500
25	500
28	400
28	600
25	500
25	500
22	500
28	600
28	500
25	600
25	600
25	600
28	1500
22	1200
25	500
28	600
28	500
25	600
28	600
28	500
28	600
28	700
31	600
25	500
31	1500
25	600
22	500
25	600
28	600
28	600
28	600
25	500
25	700
28	600
25	600
28	600
28	1500
28	500
22	500
34	700
28	600
25	500
28	600
28	600
25	500
25	600
25	600
25	700
25	1700
25	600
28	600
25	500
25	600
25	500
28	700
28	700
28	600
28	600
28	1700
25	600
28	500
25	500
31	700
25	2200
31	500
31	600
28	600
28	600
31	600
28	600
28	500
25	600
28	600
25	400
31	700
25	600
22	500
28	600
28	700
